"","BPGSA_DiseaseGenes@score"
"GO:0002098",0.85
"GO:0051674",3.41397487233683e-30
"GO:0097421",0.059297560060487
"GO:0050432",0.000154590089160323
"GO:0051620",0.920080045366311
"GO:0050433",0.00247766740674768
"GO:0051621",0.0949678577391885
"GO:0050434",0.549947099277024
"GO:0051622",0.342789598108747
"GO:0050435",2.00058858572433e-09
"GO:0051623",0.338926174496644
"GO:0097411",0.695193464885886
"GO:0032100",0.330827067669173
"GO:1990502",0.75
"GO:0051610",0.899229852964077
"GO:0032101",6.58633722798636e-07
"GO:0051611",0.125453418257793
"GO:0032102",0.0020269449910084
"GO:1990504",0.700954639636953
"GO:0051612",0.3786314970268
"GO:0032103",0.00127759653054915
"GO:1990505",0.306971197711773
"GO:0032104",0.0974817305650969
"GO:0032105",0.153569181174398
"GO:0032106",0.105561237105935
"GO:0032107",0.231605700988973
"GO:0032108",0.215690147329098
"GO:0032109",0.127967747689841
"GO:0002062",0.165731121130272
"GO:0002063",0.645899907811769
"GO:0002064",0.217943998012494
"GO:0002065",0.0404739181338581
"GO:0002066",0.0590817015510336
"GO:0002067",0.757516149167789
"GO:0051640",0.0810140535239285
"GO:0002068",0.463192715065866
"GO:0051641",4.62537414059604e-23
"GO:0002069",0.445575084798026
"GO:0051642",0.757575757575758
"GO:0051643",0.621948724042354
"GO:0051645",0.444764480540573
"GO:0051646",0.0625260454274766
"GO:0051647",0.723617437623152
"GO:0051648",0.00313392520283154
"GO:0051649",0.0128270081943273
"GO:0097435",0.00627270611997424
"GO:0002051",0.574171729909435
"GO:0002052",0.176106559042968
"GO:0002053",0.441149052162465
"GO:0034587",0.376406069344879
"GO:0034589",0.309027777777778
"GO:0089700",0.233832672726052
"GO:0005513",0.0263277801894856
"GO:0051638",0.5
"GO:0051639",0.965386300081733
"GO:0002082",0.971004055380105
"GO:0002084",0.941299623133353
"GO:0089709",0.844696913890891
"GO:1902893",7.52581257386581e-16
"GO:1902894",1.4618452801505e-05
"GO:0002087",0.0332449508767592
"GO:1902895",2.87127988210126e-10
"GO:0002088",0.184129204418735
"GO:0032290",0.395952884324978
"GO:0002089",0.85113266329872
"GO:0032291",0.175109452991782
"GO:0032292",0.795875817076056
"GO:0045792",0.71618857018132
"GO:0045793",0.540969432312807
"GO:0045794",0.143236074270557
"GO:0045795",0.3
"GO:0002070",0.840743103925731
"GO:0002072",0.85102911699257
"GO:0045799",0.217391304347826
"GO:0002076",0.75967359380824
"GO:0097400",0.458340929821224
"GO:0097401",0.224480369515011
"GO:0002021",0.0146342730620835
"GO:0002023",0.93007769145394
"GO:0002024",0.342191367931965
"GO:0002025",0.27177089421391
"GO:0034514",0.419121084618981
"GO:0002026",0.553483291939003
"GO:0002027",0.0161830091809982
"GO:0002028",0.64245999517191
"GO:0002029",0.75609864361353
"GO:0051602",0.000619525907616697
"GO:0051603",0.999796244425365
"GO:0051604",0.0896479581749872
"GO:0051606",0.999999999999989
"GO:0051607",0.980606640489584
"GO:0051608",0.224551094537115
"GO:0002011",0.565924911283081
"GO:0002016",0.0535697532601557
"GO:0002017",0.501010101010101
"GO:0002018",0.316091954022989
"GO:0002019",0.857142857142857
"GO:0032261",0.144403238964223
"GO:0045760",0.0428563404509473
"GO:0045761",0.770007263957464
"GO:1902869",0.763342687972782
"GO:0032264",0.840909090909091
"GO:0045762",0.335369007900416
"GO:0045763",0.2173718831387
"GO:0045764",0.229969012163129
"GO:0045765",0.174371667881418
"GO:0002040",0.852714542632638
"GO:0032268",4.75241090626698e-20
"GO:0045766",0.161291255139861
"GO:0032269",1.34511930696144e-06
"GO:0002042",0.459517072814878
"GO:1902850",0.696706683606805
"GO:0002043",0.208380905097919
"GO:0045769",0.228571428571429
"GO:1902855",0.418005869162716
"GO:1902856",0.342528315674096
"GO:1902857",0.660434441760828
"GO:0032252",0.635356183953792
"GO:0032253",0.986013986013986
"GO:0009394",0.298922291548497
"GO:0097190",6.7354955585558e-08
"GO:0009395",0.112978228158881
"GO:0097191",0.00257727557923019
"GO:0009396",0.143965281574631
"GO:0097192",0.330479372717334
"GO:0009397",0.578246392896781
"GO:0097193",0.0335755254278573
"GO:0097194",0.41498846546242
"GO:0032259",0.270447493516019
"GO:0097195",0.9
"GO:0002031",0.84181678522622
"GO:0002032",0.115151515151515
"GO:0045759",0.0199436522348537
"GO:0002034",0.459767821512788
"GO:1902882",0.0109689437583257
"GO:0097198",0.0323468614256628
"GO:0002035",0.875
"GO:1902883",0.140778472634116
"GO:0002036",0.89943371422793
"GO:1902884",0.576207698571339
"GO:1990680",0.246759074345281
"GO:0002037",0.548387096774194
"GO:0002038",0.952205882352941
"GO:0045780",0.209671847016636
"GO:1902889",0.166666666666667
"GO:0032286",0.722873900293255
"GO:0032287",0.540608183266693
"GO:0045785",0.00241702591851528
"GO:0032288",0.10383543907546
"GO:0045786",0.956897421862267
"GO:0032289",0.74025974025974
"GO:0045787",0.0584236098712606
"GO:1902871",0.598684210526316
"GO:0032270",1.41915272480645e-14
"GO:0032271",0.0924263442863033
"GO:0032272",0.785944810978609
"GO:0032273",0.0203109889172772
"GO:0032274",0.875515394227454
"GO:0032275",0.293706293706294
"GO:0045773",0.493651504773411
"GO:0032276",0.297918503367307
"GO:1990678",0.545454545454545
"GO:0032277",0.358637100278255
"GO:0032278",0.293291955670773
"GO:0045776",0.00976589262405752
"GO:0045777",0.208067464330781
"GO:0045778",0.618040922514605
"GO:0045779",0.319255205523579
"GO:0034502",0.479828598649497
"GO:1902822",0.357142857142857
"GO:1902823",0.277777777777778
"GO:0034504",0.0259862434858674
"GO:1902824",0.833333333333333
"GO:0034505",0.680225828164929
"GO:0032222",0.180907409239227
"GO:0045720",0.365119214081303
"GO:0032223",0.574468085106383
"GO:0045721",0.0168061992973365
"GO:0032224",0.462062339004246
"GO:0045722",0.0586436141299592
"GO:0032225",0.265882821823208
"GO:0045723",0.0231869452673838
"GO:0032226",0.238870342556945
"GO:0045724",0.772895492577448
"GO:0032227",0.421340629274966
"GO:0045725",0.0760894983565371
"GO:0097164",0.000845721882115005
"GO:0032228",0.291867539188502
"GO:0045726",0.128298302996093
"GO:0002001",0.905458344035325
"GO:0032229",0.228775368236397
"GO:0045727",0.609175893867748
"GO:0002002",0.635058417330974
"GO:0045728",0.948717948717949
"GO:0002003",0.33201581027668
"GO:1902811",0.2218782249742
"GO:0097167",0.612725228333828
"GO:0002007",0.230723429592141
"GO:0032210",0.774444970126757
"GO:1902816",0.75432758534177
"GO:0002009",0.22596562994598
"GO:0032211",0.963274477382145
"GO:1902817",0.64596304095709
"GO:0032212",0.669557434351129
"GO:0097150",0.0910245048985788
"GO:0097151",0.495576459841917
"GO:0097152",0.851001907963205
"GO:1990619",0.589473684210526
"GO:0032218",0.298568449054024
"GO:0097154",0.0124477604093904
"GO:0045717",0.323479808505985
"GO:0061394",0.100475938656795
"GO:0045719",0.293882418525807
"GO:0061395",0.428571428571429
"GO:1990641",0.231093835388478
"GO:0032241",0.57434478214783
"GO:1902847",0.228996809641971
"GO:0032242",0.25974025974026
"GO:0045740",0.432134804936444
"GO:0045741",0.407212514227719
"GO:0032244",0.142857142857143
"GO:0045742",0.0765759197703294
"GO:0045743",0.573510415755973
"GO:0045744",0.000193575578550601
"GO:0045745",0.0568350134314814
"GO:0097184",0.329632199861208
"GO:0045746",0.860484594964446
"GO:0045747",0.128478943667588
"GO:0097185",0.363636363636363
"GO:0097186",0.947662103105322
"GO:0097187",0.50894580294369
"GO:0034694",0.770767915849833
"GO:1902834",0.604395604395605
"GO:0034695",0.833409184977334
"GO:0034696",0.468965517241379
"GO:0032230",0.816300039561017
"GO:1902836",0.637899333486555
"GO:0032231",0.345271664626906
"GO:0045730",0.0206360883186458
"GO:0034698",0.645726428716402
"GO:0032232",0.0204360613420611
"GO:0034699",0.382111429855928
"GO:0032233",0.954963098696554
"GO:0045732",0.157075552546112
"GO:0017055",0.424332822704185
"GO:0045736",0.170180559238671
"GO:0032239",0.854401354368164
"GO:0045737",0.263692873369663
"GO:0097176",0.18308981356861
"GO:0045738",0.980391788399789
"GO:0045739",0.17527490857621
"GO:0097178",0.54848409058489
"GO:0090394",0.270763314767278
"GO:0097120",1.85461137967357e-06
"GO:0090398",0.0252619131525536
"GO:0017085",0.48923944013073
"GO:0090399",0.171360737476295
"GO:0061364",0.412513383578611
"GO:0061365",0.54571573515761
"GO:0061366",0.138461538461539
"GO:0061368",1
"GO:0009310",0.000463386176841233
"GO:0009311",0.967809154804206
"GO:0009312",0.973824704229025
"GO:0009313",0.930368044286174
"GO:0009314",0.813231440849
"GO:0097112",0.911064911064911
"GO:0061351",0.00129604408428551
"GO:0097113",0.327375762859634
"GO:0097114",0.0289358184095026
"GO:0097115",0.39344262295082
"GO:0034660",0.999999995408127
"GO:0097116",0.24354393108557
"GO:0034661",0.678090373933108
"GO:0061355",0.765661053430748
"GO:0097117",0.212765957446808
"GO:0061356",0.58278945448922
"GO:0036090",0.399503722084367
"GO:0097118",0.359408163893076
"GO:1902803",0.0676960488012929
"GO:0036091",0.720088509562194
"GO:0097119",0.00411639084941707
"GO:0061358",0.249614791987673
"GO:0036092",0.0945697369164575
"GO:1902805",0.384543209223232
"GO:0036093",0.71446776750937
"GO:0032200",5.18347502134226e-05
"GO:1902806",0.0211064153284452
"GO:1902807",0.0348135320343397
"GO:1990603",1
"GO:1902808",0.150896319004335
"GO:1902809",0.280701754385965
"GO:0032204",0.536376086489691
"GO:0032205",0.348944899837585
"GO:0032206",0.788812766425525
"GO:0061383",0.414872106706592
"GO:0034650",0.89178470969767
"GO:0061384",0.471488095031863
"GO:0034651",0.831596969886185
"GO:0090360",0.637429615684095
"GO:0034653",0.237298973372211
"GO:0090361",0.636833535249641
"GO:0061387",0.0687926523679178
"GO:0034654",9.23394096595493e-05
"GO:0090362",0.531056910569106
"GO:0034655",0.0598275961732831
"GO:0034656",0.639687555156421
"GO:0017014",1.78340155642335e-05
"GO:0017015",0.51024429718335
"GO:0061370",0.852231872547396
"GO:0061371",0.916156849179908
"GO:0090350",0.5
"GO:0061377",0.0101769648599081
"GO:0120063",0.575757575757576
"GO:0061323",0.485595350105532
"GO:0034670",0.306397306397306
"GO:0120064",1
"GO:0061324",0.363636363636364
"GO:0120065",1
"GO:0061325",0.258793039614957
"GO:0061326",0.812597851999036
"GO:0090381",0.813699405329501
"GO:0090382",0.706505375498612
"GO:1902595",0.439130434782608
"GO:0032790",0.922920136732071
"GO:0036065",0.293398476248594
"GO:0090385",0.85291183508494
"GO:0090386",0.576216216216216
"GO:0032792",0.632112657381735
"GO:0036066",0.129392286924814
"GO:0090387",0.35
"GO:0032793",0.203761970376001
"GO:0045892",0.0306898899675561
"GO:0090389",0.153846153846154
"GO:0045893",3.18503526237437e-09
"GO:0032796",0.498162694075147
"GO:0061311",0.603443213444611
"GO:0017038",0.419916960264097
"GO:0032799",0.688121275142042
"GO:0120054",0.596194913609008
"GO:0034620",0.136400308213495
"GO:0045898",0.0621131984864105
"GO:0061314",0.237932456870659
"GO:0120055",1
"GO:0045899",0.283911655055957
"GO:0034622",0.804954727954043
"GO:0090370",0.267335913562328
"GO:0061316",0.0750300176789077
"GO:0120057",0.708245243128964
"GO:0061317",0.333333333333333
"GO:0120058",0.657142857142857
"GO:0061318",0.509167942836623
"GO:0034625",1
"GO:0039528",0.971078408360631
"GO:0034626",1
"GO:0039529",0.922104105571848
"GO:0034627",0.795317725752508
"GO:0034629",0.82401635504367
"GO:0009303",0.215873015873016
"GO:0097101",0.5
"GO:0009306",3.19721036669234e-05
"GO:0097102",0.498033044846578
"GO:0009308",2.67854202837206e-06
"GO:0097104",0.00711821720887506
"GO:0061343",0.361006465598583
"GO:0009309",0.000497705986059607
"GO:0097105",0.201346239342966
"GO:0097106",1
"GO:0097107",0.87807181057169
"GO:0034612",0.0760124448700062
"GO:0034613",0.964078934776567
"GO:0034614",0.416265877107163
"GO:0090322",0.27734751437144
"GO:0034616",0.958932630458964
"GO:0090324",0.770397805742669
"GO:0090325",0.302134983671232
"GO:0036088",0.5625
"GO:0090329",0.990473801038456
"GO:0120071",0.333333333333333
"GO:0120072",0.333333333333333
"GO:0061333",0.978336941772896
"GO:0034641",0.235806707609396
"GO:0090310",0.358441558441559
"GO:0036071",0.426470588235294
"GO:0034643",0.0141105275394108
"GO:0090311",0.0860088320074349
"GO:0120077",0.269124423963134
"GO:0061337",0.99975860567256
"GO:1902563",0.641138538387797
"GO:0036072",0.483833796589933
"GO:0034644",0.936239364576713
"GO:0090312",0.208077335811599
"GO:0120078",0.247415575465196
"GO:1902564",0.672165182655477
"GO:0061339",0.509397149942646
"GO:0034645",0.446560973394742
"GO:0090313",0.0598360348951036
"GO:1902565",0.784468568887832
"GO:0090314",0.0683096948856576
"GO:0032760",0.393605681782884
"GO:1902566",0.733170190000404
"GO:0036075",0.229119049946524
"GO:0032761",0.579844749234235
"GO:1902567",0.400764980875478
"GO:0090316",0.00389742873013967
"GO:0032762",0.227838827838828
"GO:0045860",0.00680688556602624
"GO:0090317",0.178053676783829
"GO:0032763",0.209762290876269
"GO:0045861",0.00228396187955418
"GO:0032764",0.623152709359606
"GO:0045862",0.0460162571137196
"GO:0017004",0.99982748864987
"GO:0032765",0.268774703557312
"GO:0039530",0.717741935483871
"GO:0032768",0.00101032846939521
"GO:0039531",0.998539146677608
